#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
1,JUSTIN JAWORSKI,EWE,34,33.8,19.5,6.2,14.9,0.413,3.3,9.1,0.362,3.9,4.4,0.892,0.3,1.6,1.8,3.4,0.9,0.0,2.5,2.7,86,0.579,0.524,166.8,1.0,5.7,3.3,17.2,12.9,1.4,0.0,25.0,-0.7,1.3,114.9,118.5,-3.6,292.8,15.3,1149.6,G,28,2,0,1,0,0,0,0,40,0,0.31,1.4,0.4,0.3,17,17,0.5,2.7,0.0,2.7,EWE BASKETS OLDENBURG
2,BRANDON RANDOLPH,RAS,29,28.3,19.0,6.5,13.6,0.476,1.7,4.8,0.362,4.3,5.0,0.861,0.8,3.1,4.0,1.6,0.7,0.3,2.1,2.5,11,0.6,0.539,169.9,3.4,12.8,8.1,12.5,11.6,1.3,1.0,29.1,-3.5,1.4,116.6,110.9,5.7,270.5,21.2,819.9,GF,219,0,0,1,0,0,0,0,42,0,0.294,0.8,0.3,0.4,15,14,0.517,2.5,0.9,3.4,SC RASTA VECHTA
3,BRYCE HAMILTON,ROST,33,30.0,17.8,6.3,14.9,0.424,2.3,6.2,0.369,2.9,4.0,0.72,0.6,3.6,4.2,2.3,0.9,0.2,2.1,2.5,46,0.534,0.501,151.3,2.4,14.4,8.5,15.7,11.1,1.7,0.6,29.3,-1.9,1.2,106.8,108.8,-2.0,280.3,17.3,989.9,SG,136,0,0,1,0,0,0,0,45,0,0.304,1.1,0.4,0.3,16,17,0.485,1.1,1.4,2.5,ROSTOCK SEAWOLVES
4,JHIVVAN JACKSON,OLI,41,26.1,17.3,5.6,13.3,0.419,2.5,7.0,0.353,3.7,4.4,0.844,0.9,2.6,3.5,4.3,1.4,0.0,2.7,3.2,5,0.569,0.512,161.7,4.0,12.5,8.2,33.9,15.0,2.9,0.2,31.5,0.6,1.3,115.0,109.6,5.4,408.3,22.4,1070.4,G,86,0,0,0,0,0,1,0,39,0,0.35,1.6,0.5,0.3,22,19,0.537,3.4,1.3,4.7,S.OLIVER BASKETS
5,MALIK PARSONS,FRA,32,27.6,16.3,5.8,11.9,0.489,1.3,4.1,0.315,3.4,5.0,0.679,0.7,2.1,2.8,2.8,0.9,0.3,3.4,2.1,54,0.579,0.543,148.4,3.4,9.6,6.6,22.3,19.5,1.7,1.3,30.7,-5.8,1.4,102.1,113.9,-11.7,233.6,16.6,881.9,G,142,0,0,0,0,0,0,0,30,0,0.319,0.8,0.3,0.4,8,24,0.25,0.2,0.6,0.8,FRAPORT SKYLINERS
6,MICHAEL DEVOE,BC,36,25.8,15.9,5.4,10.9,0.492,1.6,4.2,0.373,3.6,4.5,0.804,0.7,3.2,3.8,3.8,0.8,0.1,2.2,2.4,7,0.618,0.564,166.9,3.5,16.3,10.0,27.9,14.4,1.7,0.5,28.2,1.4,1.5,120.1,116.3,3.8,375.9,22.3,927.6,SG,46,1,0,0,0,0,0,0,35,0,0.31,1.7,0.4,0.4,18,18,0.5,3.5,0.3,3.8,MITTELDEUTSCHER BC
7,BRAE IVEY,HAM,32,27.2,15.7,4.7,10.5,0.443,2.2,6.2,0.36,4.2,5.2,0.812,0.8,3.3,4.0,4.8,1.8,0.0,3.5,3.4,22,0.616,0.549,161.6,3.6,14.2,9.1,32.2,21.5,3.4,0.0,27.4,-1.2,1.5,111.7,106.6,5.1,334.1,19.9,871.8,PG,22,2,0,0,0,0,3,0,30,0,0.329,1.4,0.5,0.5,15,17,0.469,1.9,1.5,3.4,VEOLIA TOWERS HAMBURG
8,DARIUS MCGHEE,TBB,31,25.7,15.5,5.1,13.0,0.391,3.2,8.7,0.362,2.2,2.5,0.87,0.5,1.9,2.5,4.2,0.9,0.1,2.6,2.2,45,0.549,0.512,162.3,2.5,8.8,5.6,31.1,15.6,1.8,0.4,29.3,0.8,1.2,109.2,112.5,-3.3,258.1,17.4,797.5,G,40,1,0,2,0,0,0,0,44,0,0.32,1.6,0.3,0.2,14,17,0.452,1.4,0.7,2.0,TELEKOM BASKETS BONN
9,TRA HOLDER,GOE,29,26.5,15.4,4.4,10.6,0.416,1.9,5.5,0.352,4.6,5.4,0.859,0.3,1.5,1.9,3.6,0.6,0.0,3.4,1.9,99,0.592,0.506,162.7,1.5,6.9,4.1,25.7,20.8,1.2,0.0,27.3,-3.7,1.4,104.9,122.8,-17.9,194.0,14.8,768.7,PG,190,0,0,0,0,0,0,0,26,0,0.291,1.0,0.2,0.5,3,26,0.103,0.6,-0.5,0.1,BG GOETTINGEN
10,VICTOR BAILEY JR.,BVC,34,28.6,15.2,5.1,11.4,0.448,2.1,5.6,0.372,2.9,3.4,0.862,0.5,2.0,2.6,1.9,0.6,0.1,1.7,1.9,67,0.591,0.54,168.2,2.3,8.5,5.5,12.6,11.7,1.2,0.3,23.6,-1.4,1.3,114.7,115.2,-0.6,253.8,16.0,971.0,,94,0,0,0,0,0,0,0,32,0,0.243,1.1,0.4,0.3,19,15,0.559,2.1,0.4,2.6,BV CHEMNITZ 99
11,RYAN MIKESELL,MLP,40,32.3,15.1,5.3,12.4,0.424,1.3,4.1,0.305,3.4,4.5,0.754,1.3,4.3,5.6,3.2,1.1,0.2,1.9,2.8,61,0.527,0.475,148.3,5.0,16.7,10.8,17.9,11.4,1.8,0.5,23.7,0.8,1.2,109.5,109.8,-0.3,393.6,16.4,1291.3,SF,11,4,0,0,0,0,0,0,30,0,0.293,1.7,0.6,0.4,22,18,0.55,1.8,1.6,3.4,MLP ACADEMICS HEIDELBERG
12,JARON JOHNSON,BVC,3,27.8,15.0,4.7,10.7,0.438,2.3,6.7,0.35,3.3,5.3,0.625,1.0,1.7,2.7,3.0,1.0,0.0,2.3,2.7,82,0.576,0.547,141.3,5.0,8.6,6.8,20.1,15.2,1.9,0.0,26.3,-1.2,1.4,108.1,110.8,-2.7,22.8,15.5,83.3,G,175,0,0,0,0,0,0,0,22,0,0.271,1.3,0.4,0.5,1,2,0.333,0.1,0.1,0.2,BV CHEMNITZ 99
13,CARSEN EDWARDS,BAY,22,24.4,14.9,4.9,12.5,0.394,2.5,8.0,0.309,2.6,2.8,0.935,0.6,1.7,2.3,2.0,0.7,0.2,2.2,1.5,66,0.544,0.493,163.8,3.4,8.7,6.1,16.4,13.7,1.6,0.9,30.6,-3.6,1.2,106.4,106.8,-0.4,140.5,16.0,536.1,PG,196,0,0,0,0,0,0,0,30,0,0.244,0.9,0.3,0.2,16,6,0.727,0.6,0.9,1.5,BAYERN MUNICH
14,D.J. HORNE,MLP,38,26.7,14.8,5.5,13.2,0.417,2.4,7.1,0.336,1.5,1.8,0.836,0.4,2.2,2.6,2.1,0.8,0.2,1.9,3.0,97,0.532,0.507,158.9,2.1,10.0,6.1,15.4,12.0,1.6,0.9,27.9,-1.8,1.1,103.8,111.5,-7.7,233.1,14.8,1016.2,PG,173,0,0,0,0,0,0,0,28,0,0.262,1.1,0.4,0.1,22,16,0.579,0.5,1.0,1.5,MLP ACADEMICS HEIDELBERG
15,RONALDO SEGU,BRO,32,27.0,14.7,5.8,13.1,0.439,0.5,2.2,0.214,2.7,3.5,0.784,0.5,1.9,2.4,6.8,0.8,0.1,2.5,2.3,38,0.502,0.457,143.7,2.1,8.3,5.3,47.0,14.6,1.6,0.3,29.0,7.4,1.1,107.8,116.1,-8.3,302.1,17.9,862.6,PG,20,2,0,0,0,0,0,0,26,0,0.416,2.7,0.3,0.3,12,20,0.375,1.3,0.3,1.6,BROSE BASKETS BAMBERG
16,PHLANDROUS FLEMING JR.,TBB,32,25.4,14.3,5.1,11.7,0.432,1.8,5.3,0.333,2.4,3.0,0.792,1.1,2.9,4.0,4.2,1.5,0.7,2.8,2.7,25,0.548,0.508,155.7,5.0,13.5,9.2,31.3,17.4,3.1,2.5,27.9,0.2,1.2,108.3,107.5,0.8,317.0,19.7,813.6,,99,0,0,0,0,0,1,0,28,0,0.319,1.5,0.5,0.3,14,18,0.438,1.2,1.3,2.5,TELEKOM BASKETS BONN
17,KEVIN YEBO,BVC,16,21.9,14.2,4.3,7.3,0.586,1.6,3.4,0.473,4.1,5.4,0.747,1.3,2.8,4.1,1.4,0.6,0.1,1.3,3.1,2,0.736,0.698,180.6,7.4,15.5,11.4,11.4,12.0,1.3,0.3,22.7,-1.7,2.0,136.4,116.8,19.6,147.4,23.6,350.8,FC,200,0,0,0,0,0,0,0,26,0,0.185,1.0,0.4,0.8,8,8,0.5,1.9,0.1,2.0,BV CHEMNITZ 99
18,ZAC SELJAAS,OLI,36,30.4,14.0,4.5,9.8,0.462,2.1,5.1,0.412,2.9,3.6,0.822,1.5,4.1,5.6,1.4,1.7,0.3,0.9,2.9,18,0.619,0.568,169.5,6.1,16.6,11.3,8.8,7.5,3.0,1.1,18.6,0.2,1.4,130.7,105.9,24.7,395.9,20.1,1093.6,SF,59,1,0,0,0,0,1,0,27,0,0.214,1.6,1.8,0.4,22,14,0.611,4.1,1.9,6.1,S.OLIVER BASKETS
19,D'SHAWN SCHWARTZ,ROST,19,28.2,13.9,4.7,10.7,0.443,2.3,5.7,0.404,2.1,2.8,0.755,1.3,3.4,4.7,1.1,0.4,0.2,1.4,2.5,58,0.583,0.552,160.2,5.9,14.4,10.3,7.0,10.3,0.8,0.8,22.3,-2.4,1.3,116.3,111.1,5.2,148.1,16.5,536.3,SF,203,0,0,0,0,0,0,0,25,0,0.202,0.8,0.3,0.3,10,9,0.526,1.3,0.5,1.8,ROSTOCK SEAWOLVES
20,SPENCER REAVES,BC,37,28.0,13.8,4.2,8.8,0.481,2.4,5.5,0.438,2.9,3.2,0.9,0.5,1.2,1.7,2.8,0.6,0.1,1.3,2.4,35,0.675,0.619,182.0,2.4,5.9,4.2,17.5,11.3,1.3,0.2,19.8,2.2,1.6,132.3,120.9,11.4,312.0,18.0,1037.4,G,68,0,0,0,0,0,0,0,33,0,0.241,2.2,0.5,0.4,18,19,0.486,4.4,-0.3,4.1,MITTELDEUTSCHER BC
21,ROBIN AMAIZE,ROST,20,25.2,13.8,4.1,8.8,0.463,1.8,4.9,0.367,3.9,4.7,0.819,0.7,3.5,4.1,1.1,0.9,0.3,1.5,3.2,27,0.636,0.566,164.9,3.3,16.0,9.9,7.9,11.8,1.9,1.3,23.0,-2.9,1.6,122.4,108.7,13.8,158.8,19.4,503.7,SG,202,0,0,0,0,0,0,0,32,0,0.177,0.8,0.6,0.5,10,10,0.5,1.7,0.7,2.4,ROSTOCK SEAWOLVES
22,MICHAEL WEATHERS,MLP,40,24.6,13.7,4.8,8.6,0.554,0.7,2.2,0.326,3.4,4.6,0.73,0.8,3.2,4.0,3.2,1.9,0.9,2.5,3.1,3,0.64,0.596,160.9,4.1,16.3,10.2,24.6,19.2,4.2,4.4,25.2,-1.7,1.6,115.0,102.5,12.5,423.4,23.6,984.6,SG,52,1,0,0,0,0,3,0,24,0,0.276,1.2,0.8,0.5,22,18,0.55,2.5,2.2,4.7,MLP ACADEMICS HEIDELBERG
23,EZRA MANJON,LUD,32,30.0,13.5,5.1,13.5,0.375,1.3,5.1,0.244,2.1,2.8,0.747,1.0,1.8,2.8,3.4,1.0,0.1,1.7,2.5,133,0.458,0.421,136.6,3.3,8.4,5.5,22.7,10.4,1.8,0.4,24.4,1.9,1.0,100.8,104.4,-3.7,197.6,12.6,961.1,G,132,0,0,0,0,0,0,0,27,0,0.315,2.0,0.6,0.2,16,16,0.5,0.0,1.9,1.9,MHP RIESEN LUDWIGSBURG
24,NOAH LOCKE,BRO,22,22.8,13.4,4.8,11.2,0.427,2.8,7.0,0.403,1.0,1.2,0.846,0.4,2.2,2.6,0.9,0.9,0.0,1.2,1.0,56,0.571,0.553,167.6,1.9,11.3,6.7,7.0,9.2,2.0,0.2,26.0,-2.6,1.2,107.4,115.2,-7.7,146.5,16.6,501.5,SG,169,0,0,0,0,0,0,0,26,0,0.185,0.7,0.7,0.1,8,14,0.364,0.5,0.2,0.8,BROSE BASKETS BAMBERG
25,MATT THOMAS,BER,25,21.8,13.4,4.2,8.8,0.479,2.7,6.0,0.453,2.2,2.6,0.862,0.4,1.4,1.8,1.8,0.6,0.0,1.7,2.0,32,0.674,0.635,179.4,2.4,8.0,5.3,14.5,14.5,1.3,0.2,24.0,-2.3,1.5,124.2,106.3,17.8,174.4,18.7,544.8,G,155,0,0,0,0,0,0,0,34,0,0.198,1.0,0.3,0.3,16,9,0.64,2.0,0.9,2.9,ALBA BERLIN
26,AHER UGUAK,BVC,17,31.9,13.3,3.7,9.4,0.394,1.7,4.9,0.345,4.2,5.4,0.772,0.3,3.1,3.4,2.8,1.1,0.0,2.7,2.3,143,0.564,0.484,151.1,1.2,11.8,6.7,14.9,18.7,1.8,0.0,21.3,-2.7,1.4,104.8,108.3,-3.5,115.8,12.3,542.7,SF,177,0,0,0,0,0,0,0,25,0,0.232,1.0,0.4,0.6,10,7,0.588,0.4,0.7,1.1,BV CHEMNITZ 99
27,GENO CRANDALL,EWE,25,28.2,13.2,4.4,11.5,0.387,1.3,4.4,0.3,3.0,4.0,0.76,0.6,3.2,3.7,7.3,2.0,0.3,4.1,3.4,78,0.5,0.444,144.7,2.4,13.8,8.0,42.3,23.6,3.8,1.1,26.6,2.7,1.2,100.6,110.7,-10.1,248.0,15.7,705.7,G,12,4,0,0,0,0,1,0,28,0,0.378,1.8,0.5,0.3,12,13,0.48,-0.1,0.8,0.7,EWE BASKETS OLDENBURG
28,TYGER CAMPBELL,RAS,27,24.4,12.8,4.3,10.4,0.413,1.0,3.0,0.325,3.3,4.0,0.807,0.3,2.0,2.3,5.2,0.7,0.0,2.6,2.1,49,0.526,0.459,154.5,1.6,9.7,5.7,42.2,17.8,1.5,0.2,28.2,3.5,1.2,106.7,112.9,-6.2,204.9,17.0,658.2,PG,41,1,0,0,0,0,0,0,24,0,0.348,2.0,0.3,0.4,13,14,0.481,0.8,0.5,1.3,SC RASTA VECHTA
29,ARNAS VELICKA,BLB,36,23.5,12.8,3.4,8.8,0.389,1.8,5.6,0.313,4.2,5.9,0.706,0.6,3.0,3.6,5.4,1.3,0.3,2.8,1.6,13,0.561,0.489,140.8,3.0,15.1,9.1,40.5,19.9,2.8,1.1,27.8,3.4,1.5,111.0,106.3,4.7,363.0,20.6,844.3,PG,23,2,0,0,0,0,0,0,23,0,0.307,1.9,0.4,0.7,22,14,0.611,1.8,1.5,3.2,BASKETBALL LOWEN BRAUNSCHWEIG
30,MIKE DAVIS JR.,OLI,8,27.7,12.8,4.1,12.1,0.34,1.6,6.1,0.265,2.9,3.5,0.821,0.4,1.6,2.0,1.6,1.4,0.5,1.8,2.8,151,0.467,0.407,142.7,1.7,7.3,4.5,11.1,11.4,2.8,2.3,25.8,-2.5,1.1,99.7,104.1,-4.5,34.5,12.1,221.7,,69,0,0,0,0,0,0,0,19,0,0.212,0.9,0.8,0.3,5,3,0.625,0.0,0.4,0.4,S.OLIVER BASKETS
31,DAVION MINTZ,OLI,22,28.0,12.7,4.2,9.5,0.438,1.5,4.6,0.324,2.9,3.5,0.808,0.5,2.6,3.0,2.1,1.2,0.1,1.6,2.1,77,0.573,0.517,156.9,1.9,11.3,6.6,14.0,12.5,2.3,0.6,20.9,-0.7,1.3,113.9,111.3,2.6,163.0,15.7,616.0,PG,71,0,0,0,0,0,0,0,28,0,0.227,1.3,0.7,0.4,12,10,0.545,1.1,0.6,1.8,S.OLIVER BASKETS
32,JORDAN THEODORE,FRA,22,29.6,12.7,4.2,9.9,0.427,1.5,4.5,0.333,2.7,3.1,0.87,0.4,2.7,3.0,4.2,0.9,0.0,3.3,2.7,134,0.562,0.502,163.0,1.7,11.1,6.7,28.0,22.5,1.7,0.0,23.9,-1.7,1.3,101.9,115.6,-13.7,152.4,12.6,650.2,PG,60,1,0,0,0,0,0,0,22,0,0.318,1.3,0.3,0.3,5,17,0.227,0.1,0.3,0.4,FRAPORT SKYLINERS
33,MALIK OSBORNE,ROST,18,26.3,12.6,4.5,9.3,0.485,1.2,3.5,0.349,2.4,3.2,0.754,2.6,5.3,7.9,1.0,0.9,0.4,1.4,2.1,15,0.591,0.551,158.9,12.0,24.3,18.2,7.3,11.9,1.9,1.7,21.2,-2.9,1.4,118.9,105.6,13.3,195.6,20.3,473.7,F,9,5,0,0,0,0,0,0,26,0,0.193,0.7,0.7,0.3,9,9,0.5,1.3,0.9,2.1,ROSTOCK SEAWOLVES
34,T.J. CROCKETT,BLB,34,25.0,12.6,4.2,9.9,0.43,1.7,5.1,0.343,2.4,2.9,0.835,0.5,1.9,2.3,2.3,1.0,0.3,1.5,2.4,65,0.567,0.518,160.8,2.3,8.8,5.6,16.3,12.1,2.1,1.2,22.9,0.0,1.3,114.4,110.5,3.9,233.6,16.1,850.3,G,89,0,0,0,0,0,0,0,24,0,0.222,1.5,0.7,0.3,20,14,0.588,1.8,1.0,2.7,BASKETBALL LOWEN BRAUNSCHWEIG
35,JOEL SCOTT,LUD,32,25.3,12.5,4.5,9.3,0.482,1.3,4.0,0.328,2.2,3.2,0.683,2.6,2.8,5.5,0.9,0.9,0.6,0.9,3.2,17,0.581,0.552,149.3,10.7,15.3,12.7,7.5,8.0,2.0,3.1,20.5,-1.3,1.3,122.5,100.6,21.9,287.6,20.2,810.8,SF,18,3,0,0,0,0,0,0,25,0,0.201,1.0,1.0,0.3,16,16,0.5,2.5,2.0,4.6,MHP RIESEN LUDWIGSBURG
36,ARTUR KONONTSUK,EWE,30,27.2,12.4,4.1,9.3,0.443,1.7,4.6,0.367,2.4,2.6,0.936,1.5,4.3,5.9,2.1,0.5,0.2,1.6,2.5,69,0.592,0.534,174.6,7.0,19.2,13.2,12.4,13.0,1.0,0.8,19.3,-0.6,1.3,119.8,113.9,5.9,277.3,15.9,815.6,F,49,1,0,0,0,0,0,0,30,0,0.199,1.3,0.3,0.3,16,14,0.533,2.1,0.5,2.6,EWE BASKETS OLDENBURG
